date,value
1994-01-01,109.22
1994-02-01,108.92
1994-03-01,108.61
1994-04-01,110.36
1994-05-01,110.86
1994-06-01,111.49
1994-07-01,110.92
1994-08-01,111.36
1994-09-01,111.66
1994-10-01,111.65
1994-11-01,111.8
1994-12-01,116.38
1995-01-01,115.56
1995-02-01,113.15
1995-03-01,112.38
1995-04-01,114.92
1995-05-01,120.52
1995-06-01,122.05
1995-07-01,121.56
1995-08-01,122.7
1995-09-01,121.97
1995-10-01,118.34
1995-11-01,117.18
1995-12-01,118.67
1996-01-01,119.13
1996-02-01,118.59
1996-03-01,118.97
1996-04-01,120.77
1996-05-01,122.44
1996-06-01,122.01
1996-07-01,121.67
1996-08-01,121.23
1996-09-01,121.72
1996-10-01,121.85
1996-11-01,120.45
1996-12-01,120.82
1997-01-01,121.82
1997-02-01,126.67
1997-03-01,128.33
1997-04-01,127.57
1997-05-01,126.66
1997-06-01,127.1
1997-07-01,129.19
1997-08-01,131.74
1997-09-01,132.37
1997-10-01,134.05
1997-11-01,132.09
1997-12-01,132.29
1998-01-01,130.98
1998-02-01,130.8
1998-03-01,129.55
1998-04-01,128.82
1998-05-01,129.17
1998-06-01,130.29
1998-07-01,128.31
1998-08-01,127.71
1998-09-01,126.77
1998-10-01,126.68
1998-11-01,127.09
1998-12-01,124.36
1999-01-01,125.13
1999-02-01,124.14
1999-03-01,126.11
1999-04-01,127.77
1999-05-01,127.33
1999-06-01,124.3
1999-07-01,121.03
1999-08-01,121.19
1999-09-01,118.33
1999-10-01,115.23
1999-11-01,114.68
1999-12-01,115.86
2000-01-01,119.37
2000-02-01,122.49
2000-03-01,125.2
2000-04-01,125.46
2000-05-01,124.92
2000-06-01,121.49
2000-07-01,118.71
2000-08-01,118.17
2000-09-01,116.54
2000-10-01,117.93
2000-11-01,117.38
2000-12-01,116.35
2001-01-01,116.46
2001-02-01,118.27
2001-03-01,115.01
2001-04-01,114.26
2001-05-01,113.93
2001-06-01,112.92
2001-07-01,106.18
2001-08-01,102.73
2001-09-01,102.32
2001-10-01,99.1
2001-11-01,101.71
2001-12-01,103.91
2002-01-01,104.41
2002-02-01,106.68
2002-03-01,109.57
2002-04-01,111.44
2002-05-01,110.61
2002-06-01,106.95
2002-07-01,102.96
2002-08-01,103.45
2002-09-01,101.21
2002-10-01,101.28
2002-11-01,103.77
2002-12-01,103.69
2003-01-01,98.07
2003-02-01,95.33
2003-03-01,95.84
2003-04-01,97.53
2003-05-01,96.29
2003-06-01,95.22
2003-07-01,96.88
2003-08-01,97.72
2003-09-01,100.74
2003-10-01,103.1
2003-11-01,106.18
2003-12-01,108.15
2004-01-01,111.46
2004-02-01,109.29
2004-03-01,106.56
2004-04-01,106.21
